FECHA_CORTE,UUID,PERIODO_INGRESANTE,DEPARTAMENTO,PROVINCIA,DISTRITO,TIPO_ADMISION,ESCUELA,SEXO
20260527,$2b$12$z1vJjjwQgZqz5auvhczL3OqvoItQKOZOJIX0qkB5.dOLUJCDt.26.,2025-2,JUNIN,HUANCAYO,HUANCAYO,CEPRE ADMISION,ECONOMÍA,MASCULINO
20260527,$2b$12$1Iu.cLbhPvLdbP2usi7jP.UwEQUWwM3q5NqqXSWDkdashPzgn.I9q,2025-2,JUNIN,CONCEPCION,CHAMBARA,HIJO DE COMUNEROS,ECONOMÍA,FEMENINO
20260527,$2b$12$zvbHm5s6SBNcRcpW8mB9uO3X07wEQR32gbLcnhaTDvWtFZoq4.4PG,2025-2,JUNIN,HUANCAYO,EL TAMBO,CEPRE ADMISION,ECONOMÍA,FEMENINO
20260527,$2b$12$6M4x4Uymyh0BON3o1cBPrO0Xjc9czfbTe12BSSqmphyd4bXpAsYS2,2025-2,JUNIN,HUANCAYO,SAN AGUSTIN,NORMAL ORDINARIO,ECONOMÍA,MASCULINO
20260527,$2b$12$zG21Y8fegyJMePExesiT7.g2xGSDHoFuxoiR/qP1HSJzZuHBwg81i,2025-2,JUNIN,HUANCAYO,HUANCAYO,NORMAL ORDINARIO,ECONOMÍA,MASCULINO
20260527,$2b$12$/egOd4HQLXnbgMaY/v5sd.usLY6xjP7UVZpABp3W3krodXwJA43Mi,2025-2,JUNIN,HUANCAYO,HUANCAYO,CEPRE ADMISION,ECONOMÍA,FEMENINO
20260527,$2b$12$zFKTsdbAcLqeIbagZ92U1.lqFTBPT47PlEAeeC1XWeqGupfo5JGuG,2025-2,JUNIN,HUANCAYO,EL TAMBO,CEPRE ADMISION,ECONOMÍA,MASCULINO
20260527,$2b$12$dCOLMOFq7F5YKqA/.NTjnOwc37heAouitgRbr7WPS6fB.JlmWT.qe,2025-2,JUNIN,HUANCAYO,HUANCAYO,CEPRE ADMISION,ECONOMÍA,FEMENINO
20260527,$2b$12$PD25ISRrKB3zn1Dtlc5zNeAs0nlbmZfFcr73WqBia5x0gF5.2JYo6,2025-2,JUNIN,HUANCAYO,EL TAMBO,NORMAL ORDINARIO,ECONOMÍA,FEMENINO
20260527,$2b$12$P0/cPAB0Hy.cKdlRFpXcL.gWr4r0gwex7I7re/SGIHCq3BlyHSbCC,2025-2,JUNIN,CHUPACA,CHUPACA,NORMAL ORDINARIO,ECONOMÍA,MASCULINO
20260527,$2b$12$QrnRpGbrsG5pd3j8sE8DUOYt0D5WjkS0SzEE5moybQ7Ed4IBOII3i,2025-2,JUNIN,HUANCAYO,PILCOMAYO,CEPRE ADMISION,ECONOMÍA,MASCULINO
20260527,$2b$12$CG9GYml61Y6YLXw2thyz1uY1O0Hx3aOZQ8OEydTkpEQpB9bknnMbe,2025-2,HUANCAVELICA,TAYACAJA,SAN MARCOS DE ROCCHAC,HIJO DE COMUNEROS,ECONOMÍA,FEMENINO
20260527,$2b$12$bIkkIl4K0xGdPSdE90Ej7uP983okxJ5GmGGJgVDJVaWaXLJMmHLFq,2025-2,JUNIN,HUANCAYO,CHILCA,CEPRE ADMISION,ECONOMÍA,FEMENINO
20260527,$2b$12$SB50i/qWL7QyBJS/.YLrGufT93MmaOnJ3vtYSFSpj6LNZKz5cJEWm,2025-2,-,-,-,NORMAL ORDINARIO,ECONOMÍA,MASCULINO
20260527,$2b$12$Efc9tiORX6nc88b4/q1ac.UgIETtgSIZlKN5fOUTrbMDk3NK2r8Vq,2025-2,JUNIN,HUANCAYO,CHILCA,NORMAL ORDINARIO,ECONOMÍA,MASCULINO
20260527,$2b$12$Y1RQDJuXU9pAzy.4bWHHyuAT2gfIpfyLkoFpuLDbFLS70pVpefqQO,2025-2,JUNIN,HUANCAYO,CHILCA,NORMAL ORDINARIO,ECONOMÍA,MASCULINO
20260527,$2b$12$ByPqpkgKt54Dn.ZrydIF8.hrWsnYoQW3jGapPUlJOvSEMBbvQ/Mvq,2025-2,JUNIN,TARMA,TARMA,NORMAL ORDINARIO,ECONOMÍA,FEMENINO
20260527,$2b$12$es42/zsCLGJy/ZMemfNVEe5fSSUtqDIRzgtbvrUyQ5qresU.G798.,2025-2,JUNIN,HUANCAYO,HUANCAYO,NORMAL ORDINARIO,ECONOMÍA,FEMENINO
20260527,$2b$12$fJlKyUrU4oCfqBVqlXxgZeaJPSXfRotr0uoeaDKGPVmrPz0Pk0.RS,2025-2,JUNIN,HUANCAYO,CHILCA,NORMAL ORDINARIO,ECONOMÍA,FEMENINO
